File Name,Mean Pitch,Std Pitch
adrso002.mp3,307.303,314.51736
adrso003.mp3,299.2807,216.26683
adrso004.mp3,287.47687,343.5057
adrso005.mp3,224.87547,317.10812
adrso006.mp3,244.47342,230.82751
adrso007.mp3,376.29092,429.3917
adrso008.mp3,309.69818,238.16881
adrso009.mp3,388.75867,459.97574
adrso010.mp3,410.2584,512.6193
adrso011.mp3,402.87592,281.94913
adrso012.mp3,473.0884,685.47064
adrso013.mp3,491.3968,570.77
adrso014.mp3,517.59863,553.7667
adrso015.mp3,301.92953,317.42148
adrso016.mp3,317.414,432.6575
adrso017.mp3,443.7015,415.46747
adrso018.mp3,392.5925,342.54272
adrso019.mp3,352.02304,203.23431
adrso020.mp3,581.0772,540.87524
adrso021.mp3,624.932,680.0983
adrso022.mp3,440.1084,513.9744
adrso023.mp3,417.3523,517.29926
adrso148.mp3,330.11893,426.9627
adrso149.mp3,371.98877,240.64316
adrso150.mp3,314.55902,230.44649
adrso151.mp3,255.04688,144.39171
adrso152.mp3,277.64224,342.71143
adrso153.mp3,432.78262,392.94193
adrso154.mp3,246.90637,173.42033
adrso155.mp3,350.69528,306.6463
adrso156.mp3,235.62245,161.89888
adrso157.mp3,296.94217,161.64551
adrso158.mp3,266.23996,167.0715
adrso159.mp3,356.01917,319.82416
adrso160.mp3,492.75375,294.1387
adrso161.mp3,419.76575,374.05414
adrso162.mp3,330.70557,180.72223
adrso164.mp3,382.98505,494.22687
adrso165.mp3,289.37173,183.30928
adrso166.mp3,324.09396,266.925
adrso167.mp3,344.3954,391.9889
adrso168.mp3,273.32974,210.2004
adrso169.mp3,380.91318,498.82062
adrso170.mp3,338.72693,407.58185
adrso171.mp3,348.4869,313.87836
adrso172.mp3,266.33386,165.7489
adrso173.mp3,261.67606,181.09615
adrso177.mp3,310.36615,221.64294
adrso178.mp3,366.5044,297.03442
adrso179.mp3,309.47552,306.39453
adrso180.mp3,343.44067,503.36066
adrso181.mp3,350.6028,417.44183
adrso182.mp3,280.47632,234.3477
adrso183.mp3,376.15598,382.98828
adrso184.mp3,288.84296,189.56065
adrso185.mp3,257.77948,132.46594
adrso186.mp3,403.84937,244.08945
adrso255.mp3,419.95453,309.64438
adrso256.mp3,278.75525,181.50316
adrso257.mp3,242.31456,257.92462
adrso258.mp3,367.9592,227.64478
adrso259.mp3,447.76962,528.8494
adrso260.mp3,428.87885,245.42911
adrso261.mp3,258.29453,195.8856
adrso262.mp3,294.75266,364.95557
adrso263.mp3,323.87906,201.60805
adrso264.mp3,352.48703,358.22412
adrso265.mp3,265.10098,142.30566
adrso266.mp3,252.2624,146.87804
adrso267.mp3,323.86172,339.14462
adrso268.mp3,381.38593,240.18213
adrso269.mp3,299.76172,148.08084
adrso270.mp3,236.92682,137.30411
adrso272.mp3,425.77982,256.38
adrso273.mp3,591.1214,839.9238
adrso274.mp3,311.10825,192.38164
adrso275.mp3,232.91911,146.18683
adrso276.mp3,395.51953,293.358
adrso277.mp3,262.21686,136.66496
adrso278.mp3,266.40057,168.17336
adrso279.mp3,244.38481,150.40768
adrso280.mp3,385.78195,268.64838
adrso281.mp3,309.37018,247.90868
adrso283.mp3,289.42258,191.62129
adrso284.mp3,271.45102,293.44562
adrso285.mp3,237.14307,132.17455
adrso286.mp3,431.73666,557.0843
adrso287.mp3,358.46194,307.33627
adrso288.mp3,267.60764,205.55742
adrso289.mp3,273.69208,261.97385
adrso290.mp3,364.381,417.00583
adrso291.mp3,408.12442,371.19476
adrso292.mp3,237.82549,223.56967
adrso293.mp3,279.7184,249.65767
adrso294.mp3,280.66287,182.4898
adrso295.mp3,289.02332,168.37076
adrso296.mp3,313.22983,220.88809
adrso297.mp3,390.22018,394.64584
adrso298.mp3,270.90976,214.6965
adrso299.mp3,384.21664,429.22568
adrso300.mp3,216.4964,150.21333
adrso301.mp3,466.89154,512.34827
adrso302.mp3,351.2792,363.85388
adrso303.mp3,518.10205,684.70886
adrso304.mp3,320.965,184.58713
adrso307.mp3,346.5279,474.4407
adrso308.mp3,265.60013,146.9997
adrso309.mp3,288.01794,335.64957
adrso310.mp3,433.2321,688.9616
adrso312.mp3,294.12277,395.60208
adrso313.mp3,308.28107,235.93922
adrso314.mp3,381.47754,449.47916
adrso315.mp3,261.6343,227.25365
adrso316.mp3,432.66962,528.5146
adrso317.mp3,283.97385,403.61713
